DULICA;PSC;OBCE
Toplianska;821 07;Bratislava
Topo¾èianska;851 05;Bratislava
Topo¾ová;811 04;Bratislava
Toryská;821 07;Bratislava
Továrenská;811 09;Bratislava
Trajánova;851 10;Bratislava
Tramínová;831 52;Bratislava
Tranovského;841 02;Bratislava
Trávna;831 06;Bratislava
Trebišovská;821 01;Bratislava
Trebišovská;821 02;Bratislava
Trenèianska;821 09;Bratislava
Treskoòova;811 06;Bratislava
Tretia;831 01;Bratislava
Trhová;841 01;Bratislava
Trinásta;831 01;Bratislava
Trnavská;831 04;Bratislava
Trnavská cesta;821 01;Bratislava
Trnavská cesta;821 02;Bratislava
Trnavská cesta;821 04;Bratislava
Trnavská cesta;821 08;Bratislava
Trnavská cesta;831 04;Bratislava
Trnavské mıto;831 03;Bratislava
Trnková;851 10;Bratislava
Tàòová;821 04;Bratislava
Trojdomy;831 02;Bratislava
Trojièné námestie;821 06;Bratislava
Trstínska;841 06;Bratislava
Tuèkova;821 05;Bratislava
Tuhovská;831 06;Bratislava
Tulipánová;841 01;Bratislava
Tupého;831 01;Bratislava
Tupolevova;851 01;Bratislava
Turbínová;831 04;Bratislava
Turèianska;821 09;Bratislava
Turistická;851 10;Bratislava
Turnianska;851 07;Bratislava
Tvarokova;811 03;Bratislava
Tvrdého;821 08;Bratislava
Tylova;831 04;Bratislava
Tymiánová;821 07;Bratislava
Tyrkysová;851 10;Bratislava
Tyršovo nábreie;851 01;Bratislava
Uèite¾ská;821 06;Bratislava
Údernícka;851 01;Bratislava
Údolná;811 02;Bratislava
Uhliská;831 07;Bratislava
Uhorková;821 05;Bratislava
Uhrova;831 01;Bratislava
Uhrovecká;841 07;Bratislava
Ukrajinská;831 02;Bratislava
Ul. 1. mája;841 07;Bratislava
Ul. 29.augusta;811 07;Bratislava
Ul. 29.augusta;811 08;Bratislava
Ul. 29.augusta;811 09;Bratislava
Ul. 29.augusta;811 09;Bratislava
Ulica 8. mája;821 06;Bratislava
Ulica Alviáno;831 07;Bratislava
Ulica Augustína Murína;831 53;Bratislava
Ulica Borisa Nemcova;811 06;Bratislava
Ulica Eduarda Wenzla;83106;Bratislava
Ulica Hany Ponickej;841 03;Bratislava
Ulica Imricha Karvaša;811 07;Bratislava
Ulica Ivana Kadleèíka;841 03;Bratislava
Ulica Jozefa Krónera;811 05;Bratislava
Ulica Michala Buèièa;841 07;Bratislava
Ulica Milana Šimeèku;841 03;Bratislava
Ulica Ondreja Štefanka;851 01;Bratislava
Ulica pod Vajspetrom;831 06;Bratislava
Ulica pri pastierni;831 07;Bratislava
Ulica Rudolfa Mocka;841 04;Bratislava
Ulica Svornosti;821 06;Bratislava
Ulica Tomislava P. Kolakovièa;841 07;Bratislava
Ulica Zdenky Schelingovej;841 07;Bratislava
Úprkova;811 04;Bratislava
Úradnícka;831 03;Bratislava
Uránová;821 02;Bratislava
Urbánkova;811 04;Bratislava
Urbárska;851 10;Bratislava
Urpínska;851 07;Bratislava
Ursínyho;831 02;Bratislava
Uršulínska;811 01;Bratislava
Ušiakova;841 01;Bratislava
Úvozná;841 10;Bratislava
Uzbecká;821 07;Bratislava
Úzka;811 01;Bratislava
Úiny;831 06;Bratislava
V záhradách;811 02;Bratislava
Vajanského nábreie;811 02;Bratislava
Vajnorská;831 02;Bratislava
Vajnorská;831 03;Bratislava
Vajnorská;831 03;Bratislava
Vajnorská;831 04;Bratislava
Vajnorská;831 04;Bratislava
Vajnorská;831 04;Bratislava
Vajnorská;831 04;Bratislava
Vajnorská;831 04;Bratislava
Vajnorská;831 04;Bratislava
Valachovej;841 01;Bratislava
Valašská;811 04;Bratislava
Valentiniánova;851 10;Bratislava
Valchárska;821 09;Bratislava
Vanèurova;831 01;Bratislava
Vansovej;811 03;Bratislava
Vápencová;841 07;Bratislava
Vápenka;841 07;Bratislava
Vápenná;821 04;Bratislava
Varínska;821 05;Bratislava
Varšavská;831 02;Bratislava
Varšavská;831 03;Bratislava
Vavilovova;851 01;Bratislava
Vavrinecká;831 52;Bratislava
Vavrínová;821 03;Bratislava
Vazovova;811 07;Bratislava
Váska;821 07;Bratislava
Vèelárikova;841 10;Bratislava
Vèelárska;821 05;Bratislava
Velehradská;821 08;Bratislava
Ve¾ké Štepnice;831 07;Bratislava
Veltlínska;831 02;Bratislava
Vendelínska;841 01;Bratislava
Ventúrska;811 01;Bratislava
Veterná;811 03;Bratislava
Veternicová;841 05;Bratislava
Vetvárska;821 06;Bratislava
Vetvová;811 02;Bratislava
Vidlicová;831 01;Bratislava
Viedenská cesta;850 00;Bratislava
Viedenská cesta;851 01;Bratislava
Viedenská cesta;851 01;Bratislava
Vietnamská;821 04;Bratislava
Víg¾ašská;851 07;Bratislava
Vihorlatská;831 04;Bratislava
Viktora Tegelhoffa;831 04;Bratislava
Viktorínova;821 08;Bratislava
Vilová;851 01;Bratislava
Vincenta Hloníka;841 05;Bratislava
Vinièná;841 10;Bratislava
Viniferova;831 01;Bratislava
Vínna;831 02;Bratislava
Vinohradnícka;821 06;Bratislava
Vinohrady;831 51;Bratislava
Violy Valachovej;841 01;Bratislava
Vislianska;841 06;Bratislava
Višòová;831 01;Bratislava
Víazná;831 06;Bratislava
Vlárska;831 01;Bratislava
Vlastenecké námestie;851 01;Bratislava
Vlašská;831 06;Bratislava
Vlèie hrdlo;821 07;Bratislava
Vlèkova;811 04;Bratislava
Vlèkova;811 05;Bratislava
Vlèkova;811 06;Bratislava
Vodné elektrárne;850 09;Bratislava
Vodnı vrch;811 01;Bratislava
Vojtecha Ondroucha;850 09;Bratislava
Vosková;831 01;Bratislava
Votrubova;821 09;Bratislava
Vrábe¾ská;821 09;Bratislava
Vrakunská;821 06;Bratislava
Vrakunská cesta;821 02;Bratislava
Vrakunská cesta;821 07;Bratislava
Vranèovièova;841 03;Bratislava
Vranovská;851 01;Bratislava
Vrbánska;841 06;Bratislava
Vrbenského;831 53;Bratislava
Vàbová;821 07;Bratislava
Vresová;831 01;Bratislava
Vretenová;841 04;Bratislava
Vrchná;811 02;Bratislava
Vrútocká;821 04;Bratislava
Vtáèikova cesta;831 06;Bratislava
Vtáènik;831 01;Bratislava
Vukovarská ulica;841 07;Bratislava
Vyhliadka;841 05;Bratislava
Vyhnianska cesta;831 02;Bratislava
Vıhonská;831 06;Bratislava
Vıchodná;831 06;Bratislava
Vıria;841 10;Bratislava
Vysoká;811 06;Bratislava
Vysokohorská;841 03;Bratislava
Vyšehradská;851 06;Bratislava
Vyšná;821 05;Bratislava
Vıtvarná;821 06;Bratislava
Vıvojová;851 10;Bratislava
Wattova;821 04;Bratislava
Wilsonova;811 07;Bratislava
Wolkrova;851 01;Bratislava
Za bránou;841 10;Bratislava
Za farou;831 07;Bratislava
Za humnami;831 07;Bratislava
Za Kasáròou;831 03;Bratislava
Za mlynom;831 07;Bratislava
Za sokolovòou;811 04;Bratislava
Za Stanicou;831 04;Bratislava
Za tehelòou;821 04;Bratislava
Záborského;831 03;Bratislava
Zadarská;851 10;Bratislava
Zadunajská cesta;851 01;Bratislava
Zafírová;851 10;Bratislava
Záhorácka;811 04;Bratislava
Záhorská;841 06;Bratislava
Záhradkárska;841 02;Bratislava
Záhradná;841 07;Bratislava
Záhradnícka;811 07;Bratislava
Záhradnícka;811 08;Bratislava
Záhradnícka;821 08;Bratislava
Záhradnícka;821 08;Bratislava
Záhrady;841 03;Bratislava
Záhrebská;811 05;Bratislava
Záhrebská;811 07;Bratislava
Záhumenná;851 10;Bratislava
Záhumenská;841 06;Bratislava
Zákutie;841 06;Bratislava
Záluická;821 01;Bratislava
Zamatová;851 10;Bratislava
Zámocká;811 01;Bratislava
Zámocké schody;811 01;Bratislava
Zámoènícka;811 03;Bratislava
Západná;821 02;Bratislava
Západnı rad;811 04;Bratislava
Záporoská;851 01;Bratislava
Zárubová;841 06;Bratislava
Záruby;831 01;Bratislava
Zátišie;831 03;Bratislava
Zátureckého;831 07;Bratislava
Zavadilova ulica;841 08;Bratislava
Závadská;831 06;Bratislava
Záveterná;841 07;Bratislava
Závodná;821 06;Bratislava
Závodníkova;831 03;Bratislava
Zborovská;821 08;Bratislava
Zbrody;831 07;Bratislava
Zdravotnícka;851 10;Bratislava
Zelená;811 01;Bratislava
Zelené terasy;841 10;Bratislava
Zeleninová;851 10;Bratislava
Zelenohorská;841 03;Bratislava
Zelinárska;821 08;Bratislava
Zhorínska;841 03;Bratislava
Zidiny;841 03;Bratislava
Zimná;821 02;Bratislava
Zlatá;831 06;Bratislava
Zlaté piesky;821 04;Bratislava
Zlaté schody;841 05;Bratislava
Zlatohorská;841 03;Bratislava
Zlatohríbová;841 04;Bratislava
Znievska;851 06;Bratislava
Zobová;851 10;Bratislava
Zohorská;841 04;Bratislava
Zochova;811 03;Bratislava
Zrínskeho;811 03;Bratislava
Zuzany Chalupovej;851 07;Bratislava
Zvolenská;821 09;Bratislava
Zvonèeková;831 06;Bratislava
abí majer;830 00;Bratislava
abotova;811 04;Bratislava
arnovická;831 06;Bratislava
atevná;841 01;Bratislava
ehrianska;851 07;Bratislava
elezná;821 04;Bratislava
eleznièiarska;811 04;Bratislava
eleznièná;821 07;Bratislava
eliarska;841 07;Bratislava
ellova;821 08;Bratislava
iacka;821 06;Bratislava
iarska;811 03;Bratislava
idovská;811 01;Bratislava
ih¾avová;821 07;Bratislava
ilinská;811 05;Bratislava
ilinská;811 06;Bratislava
itavská;821 07;Bratislava
itná;831 06;Bratislava
ivnostenská;811 06;Bratislava
ikova;811 02;Bratislava
ltá;851 07;Bratislava
ulová;831 06;Bratislava
upné námestie;811 03;Bratislava
9. mája;977 03;Brezno
Babinec;977 01;Brezno
Balda;977 01;Brezno
Banisko;977 01;Brezno
Baštova;977 01;Brezno
Bottova;977 01;Brezno
Boeny Nìmcovej;977 01;Brezno
Brezenská;977 01;Brezno
Budovate¾ská;977 03;Brezno
Bujakovo;977 01;Brezno
Bystrá;977 01;Brezno
Cesta oslobodite¾ov;977 03;Brezno
Cintorínska;977 01;Brezno
Èernákova;977 01;Brezno
Èeskoslovenskej armády;977 01;Brezno
Dolná;977 03;Brezno
Dr. Clementisa;977 01;Brezno
Dvoriská;977 01;Brezno
Eleny Maróthy Šoltésovej;977 01;Brezno
Fraòa Krá¾a;977 01;Brezno
Fuèíkova;977 01;Brezno
Glianska;977 01;Brezno
Hlavina;977 01;Brezno
Hlboká;977 03;Brezno
Hliník;977 01;Brezno
Horná;977 03;Brezno
Hradby;977 01;Brezno
Hronská;977 01;Brezno
Hviezdoslavova;977 01;Brezno
Chalupkova;977 01;Brezno
Jarabá;977 01;Brezno
Jarmoèisko;977 01;Brezno
Jelšová;977 01;Brezno
Jesenského;977 01;Brezno
Jilemnického;977 01;Brezno
Kiepka;977 01;Brezno
Klepuš;977 01;Brezno
Kozlovo;977 01;Brezno
Kozmonautov;977 01;Brezno
Kôšikovo;977 01;Brezno
Krátka;977 03;Brezno
Krèulova;977 01;Brezno
Kriváò;977 01;Brezno
Kubická;976 57;Brezno
Kukuèínova;977 01;Brezno
Kuzmányho;977 01;Brezno
Ladislava Sáru;977 01;Brezno
Laskomerského;977 01;Brezno
Lesná;977 01;Brezno
Lichardova;977 01;Brezno
Lúèky;977 01;Brezno
Lúèna;977 03;Brezno
Májového povstania èeského ¾udu;977 03;Brezno
Malinovského;977 01;Brezno
Martina Benku;977 03;Brezno
Mazorníkovo;977 01;Brezno
Mazorníkovo;977 03;Brezno
Mládenícka;977 03;Brezno
Mliekárenská;977 03;Brezno
Mostárenská;977 03;Brezno
Moyzesova;977 01;Brezno
Nábreie Dukelskıch hrdinov;977 01;Brezno
Nábreie Jána Èipku;977 01;Brezno
Nálepkova;977 01;Brezno
Námestie gen. M.R.Štefánika;977 01;Brezno
Nová;977 03;Brezno
Okruná;977 01;Brezno
Padlièkovo;977 01;Brezno
Pestovate¾ská;977 01;Brezno
Pionierska;977 01;Brezno
Pod Hôrkou;977 01;Brezno
Podkoreòová;977 01;Brezno
Po¾ná;977 03;Brezno
Potoèná;977 03;Brezno
Predné Halny;977 01;Brezno
Rázusova;977 01;Brezno
Rohozná;977 01;Brezno
Rovne;977 03;Brezno
Sekurisova;977 01;Brezno
Sládkovièova;977 01;Brezno
Slneèná ulica;977 01;Brezno
Slovenského národného povstania;977 01;Brezno
Stanièná;977 01;Brezno
Stromová;977 01;Brezno
Šiašovo;977 01;Brezno
Školská;977 01;Brezno
Šrámkova;977 01;Brezno
Štúrova;977 01;Brezno
Štvr Ladislava Novomeského;977 01;Brezno
Švermova;977 01;Brezno
Tehelòa;977 01;Brezno
Tisovská cesta;977 01;Brezno
Vagnárska;977 01;Brezno
Vránskeho;977 01;Brezno
Vrbová;977 03;Brezno
Za Brezinkou;976 57;Brezno
Zadné Halny;977 01;Brezno
Záhradná;977 01;Brezno
Zúbrik;977 01;Brezno
eleznièná;977 01;Brezno
idlovo;977 01;Brezno
17.novembra;022 01;Èadca
A. Bernoláka;022 01;Èadca
A. Hlinku;022 01;Èadca
Bajzova;022 01;Èadca
Belajka;022 01;Èadca
Brodek;022 01;Èadca
Bukov;022 01;Èadca
Èadeèka;022 01;Èadca
Dejovka;022 01;Èadca
Didka;022 01;Èadca
Drahošanka;022 01;Èadca
Dukelskıch hrdinov;022 01;Èadca
Dukelskıch hrdinov;022 04;Èadca
Fraòa Krá¾a;022 01;Èadca
Goèárova;022 01;Èadca
Hollého;022 01;Èadca
Horelica;022 01;Èadca
Horná;022 01;Èadca
Hrancova;022 01;Èadca
Hurbanova;022 01;Èadca
Hurbanova;022 04;Èadca
Husarik;022 04;Èadca
Hviezdoslavova;022 01;Èadca
Chalupkova;022 04;Èadca
J. Bottu;022 01;Èadca
J. Francisciho;022 01;Èadca
Jána Kollára;022 01;Èadca
Janka Krá¾a;022 01;Èadca
Jašíkova;022 01;Èadca
Jesenského;022 01;Èadca
Komenského;022 04;Èadca
Kukuèínova;022 01;Èadca
Kyèera;022 01;Èadca
Kyèerka;022 04;Èadca
Kysucká cesta;022 01;Èadca
Kyzka;022 04;Èadca
Ladunkov;022 04;Èadca
Lazy;022 01;Èadca
¼udmily Podjavorinskej;022 01;Èadca
¼udovíta Janotu;022 01;Èadca
M. R. Štefánika;022 01;Èadca
Májová;022 01;Èadca
Malá;022 01;Èadca
Martinkov potok;022 01;Èadca
Matièné námestie;022 01;Èadca
Megoòky;022 01;Èadca
Mierová;022 01;Èadca
Milošová;022 01;Èadca
Moyzesova;022 01;Èadca
Na Brehu;022 01;Èadca
Nábreie;022 01;Èadca
Námestie slobody;022 01;Èadca
Okruná;022 04;Èadca
Palárikova;022 01;Èadca
Palárikova;022 01;Èadca
Palárikova;022 04;Èadca
Pod Jamkami;022 01;Èadca
Podbreie;022 01;Èadca
Podzávoz;022 01;Èadca
Potoèná;022 01;Èadca
Pribinova;022 01;Èadca
Rázusova;022 01;Èadca
Rieka;022 01;Èadca
Rieka;022 04;Èadca
Sládkovièova;022 01;Èadca
Slobody;022 01;Èadca
Slovanská cesta;022 01;Èadca
Slovenskıch dobrovo¾níkov;022 01;Èadca
SNP;022 04;Èadca
Stanièná;022 01;Èadca
Šamaja;022 01;Èadca
Školská;022 01;Èadca
Šopora;022 01;Èadca
Športovcov;022 01;Èadca
Štúrova;022 01;Èadca
U Bargary;022 01;Èadca
U Beleša;022 01;Èadca
U Bryndzary;022 01;Èadca
U Buty;022 04;Èadca
U Capka;022 01;Èadca
U Drlaka;022 01;Èadca
U Gábora;022 01;Èadca
U Gaboreho;022 01;Èadca
U Gabriša;022 01;Èadca
U Ha¾amy;022 01;Èadca
U Hanušèáka;022 01;Èadca
U Hapèáka;022 01;Èadca
U Hlubiny;022 01;Èadca
U Hluška;022 01;Èadca
U H¾uzy;022 01;Èadca
U Hu¾any;022 01;Èadca
U Husárika;022 04;Èadca
U Chylka;022 01;Èadca
U Janka;022 01;Èadca
U Jeleòa;022 01;Èadca
U Juroši;022 01;Èadca
U Kadlubca;022 01;Èadca
U Kešòáka;022 01;Èadca
U Klieša;022 01;Èadca
U Klimka;022 01;Èadca
U Kotyry;022 01;Èadca
U Kozuba;022 01;Èadca
U Králi;022 01;Èadca
U Krasòana;022 01;Èadca
U Krkošky;022 04;Èadca
U Kultana;022 01;Èadca
U Kyzka;022 04;Èadca
U Lemeši;022 01;Èadca
U Lipovskıch;022 01;Èadca
U Lišky;022 01;Èadca
U Manèi;022 01;Èadca
U Matlucha;022 01;Èadca
U Michaliny;022 01;Èadca
U Miškoòa;022 01;Èadca
U Mravca;022 01;Èadca
U Muchy;022 01;Èadca
U Muòaka;022 01;Èadca
U Najdka;022 01;Èadca
U Nemèáka;022 01;Èadca
U Obuška;022 01;Èadca
U Padyšáka;022 01;Èadca
U Poláka;022 01;Èadca
U Prívary;022 01;Èadca
U Rebroša;022 01;Èadca
U Sedláka;022 01;Èadca
U Sihe¾níka;022 04;Èadca
U Sventka;022 01;Èadca
U Šèureho;022 01;Èadca
U Ševca;022 01;Èadca
U Školy;022 01;Èadca
U Škrabáka;022 04;Èadca
U Špindli;022 01;Èadca
U Tomali;022 01;Èadca
U Vešèáry;022 01;Èadca
U Vilèa;022 01;Èadca
U Vlèaka;022 01;Èadca
Vojty;022 01;Èadca
8.marca;962 61;Dobrá Niva
Cesnaková;962 61;Dobrá Niva
Drustevná;962 61;Dobrá Niva
Dubovská;962 61;Dobrá Niva
Eleny Maróthy Šoltésovej;962 61;Dobrá Niva
Kpt.Nálepku;962 61;Dobrá Niva
Krá¾ová;960 01;Dobrá Niva
Mlynská;962 61;Dobrá Niva
Nám. Slov. nár. povst.;962 61;Dobrá Niva
Neresnická;962 61;Dobrá Niva
Orgovánová;962 61;Dobrá Niva
Podholienec;962 61;Dobrá Niva
Rozmarínová;962 61;Dobrá Niva
Ruová;962 61;Dobrá Niva
Slávikova;962 61;Dobrá Niva
Slobody;962 61;Dobrá Niva
Školská;962 61;Dobrá Niva
Štiavnická;962 61;Dobrá Niva
Štúrova;962 61;Dobrá Niva
Tulipánová;962 61;Dobrá Niva
Vàšok;962 61;Dobrá Niva
Ádorská;929 01;Dunajská Streda
Agátová;929 01;Dunajská Streda
Albetínske námestie;929 01;Dunajská Streda
Átriová;929 01;Dunajská Streda
Bacsákova;929 01;Dunajská Streda
Baantia;929 01;Dunajská Streda
Berehovská ulica;929 01;Dunajská Streda
Bihariho;929 01;Dunajská Streda
Boriny;929 01;Dunajská Streda
Bratislavská cesta;929 01;Dunajská Streda
Brezová;929 01;Dunajská Streda
Budovate¾ská;929 01;Dunajská Streda
Cesta aradskıch muèeníkov;929 01;Dunajská Streda
Cesta svätého Krištófa;929 01;Dunajská Streda
Csermelyova ulica;929 01;Dunajská Streda
Cukrovarská;929 01;Dunajská Streda
Czibókova ulica;929 01;Dunajská Streda
Èigérska;929 01;Dunajská Streda
Èótfa;930 21;Dunajská Streda
Èukáraboò;929 01;Dunajská Streda
Dolná;929 01;Dunajská Streda
Drevárska;929 01;Dunajská Streda
Drustevná;929 01;Dunajská Streda
Dunajská;929 01;Dunajská Streda
Fialková ulica;929 01;Dunajská Streda
Gabèíkovská cesta;929 01;Dunajská Streda
Galantská cesta;929 01;Dunajská Streda
Gaštanovı rad;929 01;Dunajská Streda
Gombótášska;929 01;Dunajská Streda
Hájska;929 01;Dunajská Streda
Hlavná;929 01;Dunajská Streda
Hlboká cesta;929 01;Dunajská Streda
Horná;929 01;Dunajská Streda
Hviezdna;929 01;Dunajská Streda
Hviezdoslavova;929 01;Dunajská Streda
Jantárová cesta;929 01;Dunajská Streda
Jasná;929 01;Dunajská Streda
Javorová;929 01;Dunajská Streda
Jesenského;929 01;Dunajská Streda
Jilemnického;929 01;Dunajská Streda
Jókaiho;929 01;Dunajská Streda
Júliusa Lõrincza;929 01;Dunajská Streda
Kodályova;929 01;Dunajská Streda
Komenského;929 01;Dunajská Streda
Korzo Bélu Bartóka;929 01;Dunajská Streda
Kraèanská cesta;929 01;Dunajská Streda
Krátka;929 01;Dunajská Streda
Krína;929 01;Dunajská Streda
Kukuèínova;929 01;Dunajská Streda
Kulaèská;929 01;Dunajská Streda
Kúpe¾ná;929 01;Dunajská Streda
Kvetná;929 01;Dunajská Streda
¼anárska ulica;929 01;Dunajská Streda
Lesná;929 01;Dunajská Streda
Letištná;929 01;Dunajská Streda
Levandu¾ová ulica;929 01;Dunajská Streda
Lipová;929 01;Dunajská Streda
Malá;929 01;Dunajská Streda
Maloblahovská ulica;929 01;Dunajská Streda
Malodvornícka cesta;929 01;Dunajská Streda
Malolesná ulica;929 01;Dunajská Streda
Malotejedská;929 01;Dunajská Streda
Mierová;929 01;Dunajská Streda
Mlieèany;929 01;Dunajská Streda
Mlynská;929 01;Dunajská Streda
Múzejná;929 01;Dunajská Streda
Na Paiti;929 01;Dunajská Streda
Nám. Ármina Vámbéryho;929 01;Dunajská Streda
Nám. Ruovı háj;929 01;Dunajská Streda
Nám. SNP;929 01;Dunajská Streda
Nám.priate¾stva;929 01;Dunajská Streda
Námestie Jána Kálvina;929 01;Dunajská Streda
Námestie Jehudu Aszáda;929 01;Dunajská Streda
Námestie Sv.Štefana;929 01;Dunajská Streda
Narcisová ulica;929 01;Dunajská Streda
Nemesszegská;929 01;Dunajská Streda
Neratovické nám.;929 01;Dunajská Streda
Nevädzová ulica;929 01;Dunajská Streda
Nezábudková;929 01;Dunajská Streda
Nová Osada;929 01;Dunajská Streda
Nová Ves;929 01;Dunajská Streda
Októbrová;929 01;Dunajská Streda
Orechová ulica;929 01;Dunajská Streda
Orgovánová ulica;929 01;Dunajská Streda
Ovocnı sad;929 01;Dunajská Streda
Partizánska;929 01;Dunajská Streda
Pekná ulica;929 01;Dunajská Streda
Podzáhradná;929 01;Dunajská Streda
Po¾ná cesta;929 01;Dunajská Streda
Poštová;929 01;Dunajská Streda
Povodská cesta;929 01;Dunajská Streda
Priemyselná;929 01;Dunajská Streda
Rad Pókatelek;929 01;Dunajská Streda
Radnièné námestie;929 01;Dunajská Streda
Rákócziho;929 01;Dunajská Streda
Rekreaènı Rad;929 01;Dunajská Streda
Rényská;929 01;Dunajská Streda
Rényská;929 01;Dunajská Streda
Rényská ulica;929 01;Dunajská Streda
Ruová;929 01;Dunajská Streda
Ruovı háj;929 01;Dunajská Streda
Rybnı trh;929 01;Dunajská Streda
Sentianska ulica;929 01;Dunajská Streda
Sládkovièova;929 01;Dunajská Streda
Slepá ulica;929 01;Dunajská Streda
Smetanov háj;929 01;Dunajská Streda
Spojná ulica;929 01;Dunajská Streda
Stromová ulica;929 01;Dunajská Streda
Svetlá ulica;929 01;Dunajská Streda
Széchényiho;929 01;Dunajská Streda
Školská;929 01;Dunajská Streda
Športová;929 01;Dunajská Streda
Štúrova;929 01;Dunajská Streda
Štvr svätého Jána;929 01;Dunajská Streda
Táborová;929 01;Dunajská Streda
Tichá;929 01;Dunajská Streda
Topo¾ová;929 01;Dunajská Streda
Trhovisko;929 01;Dunajská Streda
Ul. gen. Svobodu;929 01;Dunajská Streda
Ul. Istvána Gyurcsóa;929 01;Dunajská Streda
Ul.biskupa Kondého;929 01;Dunajská Streda
Ulica Adyho;929 01;Dunajská Streda
Ulica Ármina Kornfelda;929 01;Dunajská Streda
Ulica Attilu Józsefa;929 01;Dunajská Streda
Ulica Bálinta Balassiho;929 01;Dunajská Streda
Ulica Benedeka Csaplára;929 01;Dunajská Streda
Ulica bohatierska;929 01;Dunajská Streda
Ulica Ferenca Liszta;929 01;Dunajská Streda
Ulica Ferenca Vermesa;929 01;Dunajská Streda
Ulica Györgya Tölgyessyho;929 01;Dunajská Streda
Ulica Gyulu Szabóa;929 01;Dunajská Streda
Ulica Ignáca Gálffyho;929 01;Dunajská Streda
Ulica Imre Madácha;929 01;Dunajská Streda
Ulica Jánosa Aranya;929 01;Dunajská Streda
Ulica Jánosa Esterházyho;929 01;Dunajská Streda
Ulica Kálmána Mikszátha;929 01;Dunajská Streda
Ulica Kapuhegyská;929 01;Dunajská Streda
Ulica Károlya Szladitsa;929 01;Dunajská Streda
Ulica krá¾a igmunda;929 01;Dunajská Streda
Ulica Lajosa Kassáka;929 01;Dunajská Streda
Ulica Lajosa Kossutha;929 01;Dunajská Streda
Ulica László Amadea;929 01;Dunajská Streda
Ulica László Mécsa;929 01;Dunajská Streda
Ulica Lászlóa Telekiho;929 01;Dunajská Streda
Ulica logistického parku;929 01;Dunajská Streda
Ulica M.R.Štefánika;929 01;Dunajská Streda
Ulica Mihálya Marczella;929 01;Dunajská Streda
Ulica Pála Angyala;929 01;Dunajská Streda
Ulica Sándora Petõfiho;929 01;Dunajská Streda
Ulica sv. Albety;929 01;Dunajská Streda
Ulica svätého Juraja;929 01;Dunajská Streda
Ulica svätého Ladislava;929 01;Dunajská Streda
Ulica vojvodcu Árpáda;929 01;Dunajská Streda
Ulica Zoltána Fábryho;929 01;Dunajská Streda
Ulica Zsigmonda Móricza;929 01;Dunajská Streda
Vajanského;929 01;Dunajská Streda
Ve¾koblahovská cesta;929 01;Dunajská Streda
Viedenská cesta;929 01;Dunajská Streda
Vinohradnícka;929 01;Dunajská Streda
Záhradnícka;929 01;Dunajská Streda
Zelená;929 01;Dunajská Streda
Zoltána Fábryho;929 01;Dunajská Streda
eleznièná;929 01;Dunajská Streda
itnoostrovská;929 01;Dunajská Streda
Agátová ulica;924 01;Galanta
Atkárska;924 01;Galanta
Bratislavská ulica;924 01;Galanta
Breètanová ulica;924 01;Galanta
Brezová ulica;924 01;Galanta
Cintorínska ulica;924 01;Galanta
Clementisove sady;924 01;Galanta
Èerešòová ulica;924 01;Galanta
Èeská ulica;924 01;Galanta
Drevená ulica;924 01;Galanta
Dubová ulica;924 01;Galanta
Dvor Bibic;924 01;Galanta
Dvor Garad;924 01;Galanta
Dvor Terezov;924 01;Galanta
Egrešová ulica;924 01;Galanta
Fialková ulica;924 01;Galanta
Gaštanová ulica;924 01;Galanta
Hanza;924 01;Galanta
Hlavná ulica;924 01;Galanta
Hodská ulica;924 01;Galanta
Hody;924 01;Galanta
Hrabová ulica;924 01;Galanta
Hviezdoslavova ulica;924 01;Galanta
Javorinka;925 01;Galanta
Javorová;924 01;Galanta
Jazerná ulica;924 01;Galanta
Jesenského ulica;924 01;Galanta
Jilemníckeho ulica;924 01;Galanta
Kolónia;924 01;Galanta
Konvalinková ulica;924 01;Galanta
Krásna ulica;924 01;Galanta
Kvetná ulica;924 01;Galanta
Liesková ulica;924 01;Galanta
Lipová ulica;924 01;Galanta
Majakovského ulica;924 01;Galanta
Marhu¾ová ulica;924 01;Galanta
Matièná ulica;924 01;Galanta
Matúškovská cesta;924 01;Galanta
Mierová ulica;924 01;Galanta
Mierové námestie;924 01;Galanta
Mládenícka štvr;924 01;Galanta
Námestie detí;924 01;Galanta
Narcisová ulica;924 01;Galanta
Nebojsa;924 01;Galanta
Nemocnièná ulica;924 01;Galanta
Nezábudková ulica;924 01;Galanta
Nová Doba;924 01;Galanta
Nová ulica;924 01;Galanta
Októbrová ulica;924 01;Galanta
Orechová ulica;924 01;Galanta
Palinová ulica;924 01;Galanta
Parková ulica;924 01;Galanta
Partizánska;924 01;Galanta
Petrovská;924 01;Galanta
Po¾ná ulica;924 01;Galanta
Poštová ulica;924 01;Galanta
Prieèna ulica;924 01;Galanta
Priemyselná ulica;924 01;Galanta
Puškinova ulica;924 01;Galanta
Revoluèná Štvr;924 01;Galanta
Rezedová ulica;924 01;Galanta
Ruská ulica;924 01;Galanta
Ruová ulica;924 01;Galanta
Sídl. Hanza;924 01;Galanta
Sídl. Jas;924 01;Galanta
Sídl. Nová doba;924 01;Galanta
Sládkovièova ulica;924 01;Galanta
Slneèná ulica;924 01;Galanta
Stanièná ulica;924 01;Galanta
Stavbárska ulica;924 01;Galanta
Šafárikova ulica;924 01;Galanta
