DULICA;PSC;OBCE
Dedinská;974 11;Banská Bystrica
Diamantová ulica;974 05;Banská Bystrica
Dlhá ulica;974 05;Banská Bystrica
Dobšinského;974 01;Banská Bystrica
Dolná;974 01;Banská Bystrica
Dolná Strieborná;974 01;Banská Bystrica
Drienková;974 05;Banská Bystrica
Družby;974 04;Banská Bystrica
Družstevná;974 01;Banská Bystrica
Dubová;974 11;Banská Bystrica
Dúhová;974 05;Banská Bystrica
Ďumbierska;974 11;Banská Bystrica
F. Švantnera;974 01;Banská Bystrica
Fatranská;974 11;Banská Bystrica
Figuša Bystrého;974 01;Banská Bystrica
Fraňa Kráľa;974 01;Banská Bystrica
Garbanka;974 11;Banská Bystrica
Gaštanová;974 09;Banská Bystrica
Gerberová ulica;974 01;Banská Bystrica
Gerlachovská;974 11;Banská Bystrica
Golianova;974 01;Banská Bystrica
Gorkého;974 04;Banská Bystrica
Harmanecká cesta;974 01;Banská Bystrica
Haškova;974 11;Banská Bystrica
Havranské;974 04;Banská Bystrica
Hečkova;974 01;Banská Bystrica
Hlboká;974 11;Banská Bystrica
Horná;974 01;Banská Bystrica
Horná Strieborná;974 01;Banská Bystrica
Horné záhrady;974 01;Banská Bystrica
Hronská;974 01;Banská Bystrica
Hronské predmestie;974 01;Banská Bystrica
Hrušková;974 01;Banská Bystrica
Hurbanova;974 01;Banská Bystrica
Hutná;974 04;Banská Bystrica
Hviezdoslavova;974 01;Banská Bystrica
Chabenecká;974 11;Banská Bystrica
Iliašska cesta;974 05;Banská Bystrica
Inovecká;974 11;Banská Bystrica
Internátna;974 04;Banská Bystrica
J. Cikkera;974 01;Banská Bystrica
Jabloňová;974 05;Banská Bystrica
Jakubská cesta;974 01;Banská Bystrica
Jána Bottu;974 01;Banská Bystrica
Jána Chalupku;974 01;Banská Bystrica
Janka Jesenského;974 01;Banská Bystrica
Janka Kráľa;974 01;Banská Bystrica
Jantárová ulica;974 05;Banská Bystrica
Jarabinová;974 05;Banská Bystrica
Jarná;974 05;Banská Bystrica
Jaseňová;974 09;Banská Bystrica
Jaspisová ulica;974 05;Banská Bystrica
Javornícka;974 11;Banská Bystrica
Javorová;974 09;Banská Bystrica
Jazmínová;974 04;Banská Bystrica
Jedľová;974 09;Banská Bystrica
Jegorovova;974 01;Banská Bystrica
Jelšová;974 01;Banská Bystrica
Jesenná;974 05;Banská Bystrica
Jilemnického;974 04;Banská Bystrica
Jiráskova;974 01;Banská Bystrica
Jozefa Mistríka;974 01;Banská Bystrica
K lomu;974 01;Banská Bystrica
Kalinčiakova;974 05;Banská Bystrica
Kapitána Jaroša;974 11;Banská Bystrica
Kapitána Nálepku;974 04;Banská Bystrica
Kapitulská;974 01;Banská Bystrica
Karpatská;974 11;Banská Bystrica
Katovná;974 01;Banská Bystrica
Kláry Jarunkovej;974 01;Banská Bystrica
Klenová ulica;974 05;Banská Bystrica
Kollárova;974 01;Banská Bystrica
Komenského;974 01;Banská Bystrica
Kostiviarska cesta;974 01;Banská Bystrica
Kovačická ulica;974 04;Banská Bystrica
Králická cesta;976 34;Banská Bystrica
Kráľovohoľská;974 11;Banská Bystrica
Krátka;974 05;Banská Bystrica
Kremeňová ulica;974 05;Banská Bystrica
Kremnička;974 05;Banská Bystrica
Krivánska;974 11;Banská Bystrica
Krížna;974 01;Banská Bystrica
Kukučínova;974 01;Banská Bystrica
Kuzmányho;974 01;Banská Bystrica
